title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Advances in Industrial Biotechnology	CHEM 540	3	Introduction to emerging technologies and research advances in biotechnologies. Topics include semisynthetic production of drugs and drug candidates through large-scale fermentation, next generation synthesis of DNA and whole genes, green toxicology, single-molecule diagnostics, orphan-drug re-purposing, and next- generation genomic analyses in drug development. Translational research, issues of entrepreneurship, sustainability, and ethics are also covered.	CHEM 222 (or equivalent) and BIOL 200 or CHEM 332			Faculty of Science	U3 Students or higher. Not open to students who have taken or are taking PHAR 540.
Advanced Nucleic Acid Chemistry	CHEM 542	3	Advanced-level chemical reactivity and metal binding properties, advanced methods for synthesis, purification and characterization of DNA/RNA, non-canonical DNA/RNA structures and functions, self-assembly of functional nucleic acid-based materials, chemical and fluorescence-based methods for probing nucleic acids in vitro and in vivo, in vitro evolution of functional nucleic acids for biotechnology, and diagnostic and therapeutic applications of modified nucleic acids.	CHEM 302 CHEM 332 or BIOL 200 BIOL 201 or permission of the instructor.			Faculty of Science	
Physical Organic Chemistry	CHEM 552	3	The correlation of theory with physical measurements on organic systems; an introduction to photochemistry; solvent and substituent effects on organic reaction rates, etc.; reaction mechanisms.	CHEM 302		Winter	Faculty of Science	
Magnetic Resonance Spectroscopy	CHEM 555	3	The fundamental principles underlying Nuclear magnetic resonance (NMR), Electron Paramagnetic resonance (EPR) and Magnetic Resonance Imaging (MRI) will be covered and applied to biomolecules and materials chemistry. Topics include multidimensional spectra, molecular dynamics, the density matrix, and the product operator formalism.	CHEM 355 or equivalent		Winter	Faculty of Science	
Advanced Quantum Mechanics	CHEM 556	3	Quantum mechanical treatment of species of chemical interest. Introduction to perturbation theory, both time-dependent and time-independent. Treatment of the variational principle. Introduction to atomic spectra. Chemical bonding in terms of both the valence bond and molecular orbital theory. Elementary collision theory. Interaction of radiation with molecules.	CHEM 345 and PHYS 242		Fall	Faculty of Science	
Polymer Synthesis	CHEM 571	3	A survey of polymer preparation and characterization; mechanisms of chain growth, including free radical, cationic, anionic, condensation and transition metal-mediated polymerization, and the effects of these mechanisms on polymer architecture; preparation of alternating, block, graft and stereoblock copolymers; novel macromolecular structures including dendrimers and other nanostructures.	CHEM 302 or equivalent, or permission of instructor.		Fall	Faculty of Science	
Synthetic Organic Chemistry	CHEM 572	3	Synthetic methods in organic chemistry and their application to the synthesis of complex molecules.	CHEM 382		Winter	Faculty of Science	
Introductory Polymer Chemistry	CHEM 574	3	A survey course on the structure of polymers, kinetics and mechanisms of polymer and copolymer synthesis; characterization and molecular weight distributions; polymer microstructure, the thermodynamics of polymer solutions; the crystalline and amorphous states, rubber elasticity and structure-property relationships.	Prerequisites		Fall	Faculty of Science	Not open to students who have taken CHEM 455 or CHEM 674.
Chemical Kinetics	CHEM 575	3	Kinetic laws, measurement of reaction rates, transition state and collision theory, experimental techniques in reaction kinetics, reaction mechanisms, RRKM theory, Marcus theory of electron transfer, photochemistry and catalysis. Recent developments and their application to chemical and biological problems. Elementary reactions in gas, solution and solid phases and on surfaces.	CHEM 273 and CHEM 223/CHEM 243 (formerly CHEM 213).		Winter	Faculty of Science	
Electrochemistry	CHEM 577	3	Fundamentals of electrochemistry and the application of electrochemical methods to chemical and biochemical problems. Emphasis is given to the study of electrode reaction mechanisms and the interpretation of electrochemical results for organic and inorganic systems. Voltammetric and coulometric methods are rigorously discussed. Several topics of interest in electrochemistry will be covered as time permits.	CHEM 243 or CHEM 203/CHEM 204, CHEM 367 and CHEM 377			Faculty of Science	
Supramolecular Chemistry	CHEM 582	3	Introduction to supramolecular organization will be followed by discussions on the nature of interactions and methodologies to create ordered aggregates of high complexity. Potential of supramolecular chemistry in fabricating smart materials will be explored using specific topics including inclusion chemistry, dendrimers, molecular self-assembly and crystal engineering.	CHEM 222, CHEM 381		Winter	Faculty of Science	
Colloid Chemistry	CHEM 585	3	Principles of the physical chemistry of phase boundaries. Electrical double layer theory; van der Waals forces; Brownian motion; kinetics of coagulation; electrokinetics; light scattering; solid/liquid interactions; adsorption; surfactants; hydrodynamic interactions; rheology of dispersions.	CHEM 345, MATH 233 and MATH 315, PHYS 241 and PHYS 242. Students who haven't taken CHEM 223 and CHEM 243 must have taken CHEM 273 or permission of instructor.		Winter	Faculty of Science	
Bioinorganic Chemistry	CHEM 591	3	The roles of transition and main group elements in biology and medicine will be examined with an emphasis on using tools for structure and genome searching as well as becoming acquainted with experimental spectroscopic methods useful for bioinorganic chemistry such as macromolecular X-ray diffraction, EPR and EXAFS.	CHEM 381		Winter	Faculty of Science	For Honours and Major Chemistry students or with permission
Statistical Mechanics	CHEM 593	3	Intermediate topics in statistical mechanics, including	CHEM 345. Recommended		Winter | Term paper	Faculty of Science	
Principles and Applications of Materials Characterization	CHEM 603	3	Fundamentals of materials characterization methods and their applications in materials chemistry. Topics include static and dynamic mechanical testing, vibrational spectroscopy (Raman and FTIR), surface-based spectroscopies (XPS, Auger), advanced electron microscopy methods, X-ray absorption spectroscopy and X-ray diffraction (pXRD, WAXD, SAXS).	CHEM 355 or equivalent, or permission of instructor			Faculty of Science	
Organometallic Chemistry	CHEM 612	5	A first course at the graduate level in organometallic chemistry. The theory and practice of the field is treated starting from basic principles of inorganic and organic chemistry.				Faculty of Science	
Reaction Mechanisms in Organic Chemistry	CHEM 621	5	A systematic survey of the mechanisms of the most common organic reactions from studies of reactions in the current literature.				Faculty of Science	
Organic Synthesis	CHEM 629	5	An advanced course in the synthesis of organic molecules with an emphasis on stereoselective transformations. Topics will include multiple bond formation, functional group interconversions, carbon-carbon bond formation and stereoselective oxidations and reductions.				Faculty of Science	
Seminar in Advanced Materials	CHEM 634	3	A series of research-level seminars about topics of current interest in advanced materials. Topics include molecular and nanoelectronics, computational approaches to materials design and property predictions, new techniques in molecular and atomic imaging, advances in materials preparation, quantum devices and quantum computing.				Faculty of Science	
Seminars in Chemistry 1	CHEM 650	1	A seminar course designed for graduate students in chemistry which in conjunction with McGill Chemical Society will provide exposure to a broad range of special topics within the discipline.			1 seminar | Required of first year graduate students in Chemistry.	Faculty of Science	
Seminars in Chemistry 2	CHEM 651	1	A seminar course designed for graduate students in chemistry which in conjunction with McGill Chemical Society will provide exposure to a broad range of special topics within the discipline.			1 seminar | Required of first year graduate students in Chemistry.	Faculty of Science	
Special Topics 2	CHEM 666	6	Critical and original essays are required on various subjects of current interest in chemistry.				Faculty of Science	
Special Topics 3	CHEM 667	4	Critical and original essays are required on various subjects of current interest in chemistry.			Due to the nature of this course, the standard add/drop and withdrawal deadlines do not apply. Web add/drop is July 6, 2020 and web withdrawal is August 3, 2020	Faculty of Science	
Progress Assessment 1	CHEM 688	3	An evaluation that is completed before the end of the second year of registration.				Faculty of Science	Restricted to graduate students in Chemistry.
M.Sc. Thesis Research 1	CHEM 691	3	Independent research work leading to writing of M.Sc. thesis for final submission to Graduate and Postdoctoral Studies.				Faculty of Science	
M.Sc. Thesis Research 2	CHEM 692	6	Independent research work leading to writing of M.Sc. thesis for final submission to Graduate and Postdoctoral Studies.				Faculty of Science	
M.Sc. Thesis Research 3	CHEM 693	9	Independent research work leading to writing of M.Sc. thesis for final submission to Graduate and Postdoctoral Studies.				Faculty of Science	
M.Sc. Thesis Research 4	CHEM 694		Independent research work leading to writing of M.Sc. thesis for final submission to Graduate and Postdoctoral Studies.				Faculty of Science	
M.Sc. Thesis Research 5	CHEM 695		Independent research work leading to writing of M.Sc. thesis for final submission to Graduate and Postdoctoral Studies.				Faculty of Science	
CHEM 701	CHEM 701		An evaluation that is completed before the end of the third year of registration.				Faculty of Science	Ph.D. students in Chemistry.
Progress	CHEM 702		An evaluation that is completed before the end of the fourth year of registration.				Faculty of Science	Ph.D. students in Chemistry.
Foundations of Health and Social Services Systems	CHLC 351	3	This course will provide an overview of private and public social services within Quebec and its evolution over the last century. Will examine the structures, functions and relations of social organizations. Students will achieve an understanding of the nature of the social services and the subjective impact of seeking and providing help.				School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401	3	Understanding the responsibility of management for the timely appraisal of programs and services delivered by health and social services organizations with a view to ensuring their quality, safety, effectiveness and efficiency.Topics include	CHLC 351			School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401D1		Understanding the responsibility of management for the timely appraisal of programs and services delivered by health and social services organizations with a view to ensuring their quality, safety, effectiveness and efficiency.Topics include	CHLC 351		Students must register for both CHLC 401D1 and CHLC 401D2 | No credit will be given for this course unless both CHLC 401D1 and CHLC 401D2 are successfully completed in consecutive terms | CHLC 401D1 and CHLC 401D2 together are equivalent to CHLC 401	School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401D2		See CHLC 401D2 for description.	CHLC 401D1		No credit will be given for this course unless both CHLC 401D1 and CHLC 401D2 are successfully completed in consecutive terms | CHLC 401D1 and CHLC 401D2 together are equivalent to CHLC 401	School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401J1	1	Understanding the responsibility of management for the timely appraisal of programs and services delivered by health and social services organizations with a view to ensuring their quality, safety, effectiveness and efficiency.Topics include	CHLC 351		Students must also register for CHCL 401J2 and CHCL 401J3 | No credit will be given for this course unless CHCL 401J1, CHCL 401J2 and CHLC 401J3 are all successfully completed in consecutive terms | CHCL 401J1, CHCL 401J2 and CHLC 401J3 together are equivalent to CHCL 401	School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401J2	1	See CHLC 401J1 for description.	CHLC 401J1		Students must also register for CHLC 401J3 | No credit will be given for this course unless CHLC 401J1, CHLC 401J2 and CHLC 401J3 are all successfully completed in consecutive terms | CHLC 401J1, CHLC 401J2 and CHLC 401J3 together are equivalent to CHLC 401	School of Continuing Studies	
Evaluation of Health and Social Services	CHLC 401J3	1	See CHLC 401J1 for description.	CHLC 401J2		No credit will be given for this course unless CHLC 401J1, CHLC 401J2 and CHLC 401J3 are all successfully completed in consecutive terms | CHLC 401J1, CHLC 401J2 and CHLC 401J3 together are equivalent to CHLC 401	School of Continuing Studies	
Fundamentals of Health and Social Services Info Systems	CHLC 410	3	Fundamental approaches of information systems and data management.Topics covered include		CHLC 351		School of Continuing Studies	
Foundations of Legal and Ethical Aspects	CHLC 415	3	The legal and ethical issues relevant to the health care system in Quebec. Topics include		CHLC 351		School of Continuing Studies	
Health and Social Service Systems	CHLC 500	3	An overview of the present Qu�bec and Canadian health and social service system				School of Continuing Studies	
Health and Social Services Information Systems	CHLC 502	3	Information systems and data management fundamentals; understanding of integration of technology in the health care setting; effective use of information technology and management systems to improve the quality, safety, access, and cost-effectiveness of health care.		CHLC 500		School of Continuing Studies	
Legal and Ethical Aspects: Health and Social Services	CHLC 552	3	Health care system in Quebec, the federal and provincial law relevant to it. Explores relationships between civil and criminal law, law and medicine, law and ethics. Major legislation, case law and legal writings will be presented. Addresses human rights, professional responsibility, civil, criminal liability and dilemmas raised by new technologies.		CHLC 500		School of Continuing Studies	
Health Services Management Field Project	CHLC 580	3	Students will work on team projects and apply the knowledge and skills gained through the program to solve a real workplace problem. The project could be in a service (health care, education, banking/insurance, etc.), logistics or manufacturing organization.	CACC 520, CMS2 533, CPL2 532 and (CGM2 510 or CHLC 590 or CORG 556 or CPL2 510 or CORG 553)			School of Continuing Studies	
Topics in Health Care	CHLC 590	3	Specialized course covering an advanced topic in the health care area selected from current issues or themes in literature.	CHLC 500		Note: Content will vary from year to year.	School of Continuing Studies	
Topics in Health Care	CHLC 590J1	1	Specialized course covering an advanced topic in the health care area selected from current issues or themes in literature.				School of Continuing Studies	
Topics in Health Care	CHLC 590J2	1	See CHLC 590J1 for course description.				School of Continuing Studies	
Topics in Health Care	CHLC 590J3	1	See CHLC 590J1 for course description.				School of Continuing Studies	
Topics in Health Care	CHLC 590N1		Specialized course covering an advanced topic in the health care area selected from current issues or themes in literature.	CHLC 500		Students must also register for CHLC 590N1 | No credit will be given for this course unless both CHLC 590N1 and CHLC 590N2 are successfully completed in a twelve month period. | CHLC 590N1 and CHLC 590N2 together are equivalent to CHLC 590	School of Continuing Studies	
Topics in Health Care	CHLC 590N2		See CHLC 590N1 for description.	CHLC 590N1		No credit will be given for this course unless both CHLC 590N1 and CHLC 590N2 are successfully completed in a twelve month period. | CHLC 590N1 and CHLC 590N2 together are equivalent to CHLC 590	School of Continuing Studies	
Introduction to International Organizations	CHSS 201	3	The role of international organizations (IOs) in world politics; short history of their emergence and evolution; the role of IOs in relation to the three "pillars" of the United Nations (security, development, and human rights); international economic institutions; simulation of the United Nations Security Council.				School of Continuing Studies	
Regulatory Mechanisms of International Organizations	CHSS 202	3	Regulatory mechanisms of international organizations (IOs) and their impact on global governance; challenges of global policy-making; regulatory mechanisms for overcoming these challenges; growing role of non-state actors (civil society groups and business leaders) in global policy-making; analysis of governance of the use of force; other international governance issues; climate change negotiation simulation.				School of Continuing Studies	
Overview of the Aviation Field	CIAM 510	3	This course examines the field of aviation, its past, present and future as related to the following				School of Continuing Studies	
Air Transportation Finance and Economics	CIAM 520	3	This course examines the strategic financial issues facing the aviation industry, the government�s role�national, regional and international�and the economic effects on environment, safety and security.	CIAM 510			School of Continuing Studies	
Aviation Safety and Security Management	CIAM 521	3	Course examines the evolution and principles of managing safety and security in aviation by different aviation service providers, such as aviation training organizations, airlines, maintenance organizations, manufacturers, air navigation service providers and airports.	CIAM 510			School of Continuing Studies	
Aviation Law and Policy	CIAM 522	3	The course covers the fundamental legal principles and processes, international relations and diplomacy and institutional structures important to the aviation industry. It also examines the legal and policy aspects of liberalization, globalization and commercialization, safety and security, and environmental constraints.	CIAM 510			School of Continuing Studies	
Air Navigation Services Management	CIAM 523	3	Review of the various aspects of air navigation service management. Topics include	CIAM 510		**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the third lecture day.	School of Continuing Studies	
Airline Management	CIAM 524	3	This course will review the functions and decision-making process involved in planning and executing airline operations. Topics include	CIAM 510			School of Continuing Studies	
Airport Management	CIAM 525	3	This course will provide an introduction to the airport system and the main issues concerning airport operations and development. Topics include	CIAM 510		**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the fourth lecture day and withdrawal is the seventh lecture day. | **This course will be held on June 17, 18, 20, 23, 26, 27, 30, July 2, 4 and 8.	School of Continuing Studies	
Air Cargo Management	CIAM 526	3	Course explores the operations, business and regulations related to cargo management. Some of the topics include	CIAM 510			School of Continuing Studies	
Integrated Aviation Management Project	CIAM 540	3	This capstone course provides participants with the opportunity to integrate, utilize and apply the knowledge acquired throughout the program to a real project.	CIAM 510, CIAM 520, CIAM 521, CIAM 522, CIAM 523, CIAM 524, CIAM 525, CIAM 526 AND CPL2 532		**Due to the intensive nature of this course, the standard add/drop and withdrawal deadlines do not apply. Add/drop is the second lecture day and withdrawal is the fifth lecture day.	School of Continuing Studies	
Commun and Networking Skills for Aviation Professionals	CIAM 550	3	This course focuses on the tools and techniques required by aviation professionals to analyze, interpret and effectively communicate with internal and external stakeholders in various contexts. It also provides participants with the opportunity to develop and hone their presentation skills. Topics include				School of Continuing Studies	Open to students in the Graduate Certificate in Aviation Leadership only.
Analytics and Bus. Intelligence for Aviation Professionals	CIAM 552	3	This course focuses on the practical application of concepts, knowledge, and computational techniques of data analytics to identify and solve business problems and improve organizational decision making in the aviation industry. Students will analyze and interpret data, and apply insights obtained from inside and outside aviation-related organizations to optimize strategic decision-making and improve operations, productivity and business results.				School of Continuing Studies	Open to students in the Graduate Certificate in Aviation Leadership only.
Intercultural Civic Engagement/Service-Learning	CINC 200	3	Analyzing the social, political and cross-cultural impact of civic engagement through service learning as it applies to the Montreal volunteer sector.	CEEN 331, CEEN 332; or a high intermediate level of English on the unit's Entrance Placement Test (EPT); or permission of the Director.			School of Continuing Studies	
Construction Materials	CIVE 202	4	Classification of materials; atomic bonds; phase diagrams; elementary crystallography;imperfections; engineering properties, uses and durability of metals, concrete, wood, polymers, composites and asphalt; sustainable development; group laboratory projects.	CIVE 290		(4-2-6)	Faculty of Engineering	
Solid Mechanics Laboratory	CIVE 203	1	Laboratory in solid mechanics.				Faculty of Engineering	
Statics	CIVE 205	3	Systems of forces and couples, resultants, equilibrium. Trusses, frames and beams, reactions, shear forces, bending moments. Centroids, centres of gravity, distributed forces, moments of inertia. Friction, limiting equilibrium, screws, belts.			(3-2-4)	Faculty of Engineering	
Dynamics	CIVE 206	3	Kinematics and kinetics of particles, systems, and rigid bodies; mass-acceleration, work-energy, impulse-momentum. Moving coordinate systems. Lagrange's equations. Vibrations and waves.	CIVE 205.	MATH 262, MATH 263	(3-2-4)	Faculty of Engineering	
Solid Mechanics	CIVE 207	4	Stress-strain relationships; elastic and inelastic behaviour; performance criteria. Elementary and compound stress states, Mohr's circle. Shear strains, torsion. Bending and shear stresses in flexural members. Deflections of beams. Statically indeterminate systems under flexural and axial loads. Columns. Dynamic loading.	CIVE 205 (a D grade is acceptable for prerequisite purposes) or MECH 210 (under special circumstances, the Department may permit this course to be taken as a corequisite) or equivalent		(4-2-6) | Four laboratory sessions and weekly tutorials	Faculty of Engineering	
Civil Engineering System Analysis	CIVE 208	3	Introduction to civil engineering systems; system modelling process; systems approach and optimization techniques; application of linear programming; simplex method; duality theory; sensitivity analysis; transportation problem; assignment problem; network analysis including critical path method; integer linear programming method.	COMP 208.	MATH 264	(3-2-4)	Faculty of Engineering	
Surveying	CIVE 210	2	The construction and use of modern survey instruments; transit, level, etc.; linear and angular measurements and errors; horizontal and vertical curves; error analysis, significance of figures; use of computers and software; recent developments.	MECH 289 (formerly MECH 290)		**Due to the intensive nature of this course, the standard add/drop, and withdrawal deadlines do not apply. Add/drop is the third lecture day and withdrawal is the sixth lecture day.	Faculty of Engineering	
Environmental Engineering	CIVE 225	4	Introduction to environmental chemistry; mass balance analyses in engineered and natural systems; water, soil and air pollution characterization and control; water quality parameters; drinking water and wastewater treatment technologies; global climate change	CIVE 290.	MATH 263	(4-2-6)	Faculty of Engineering	
Analytical Mechanics	CIVE 281	3	Kinematics of particles, dynamics of particles. Work, conservative forces, potential energy. Relative motion and general moving frames of reference. Central force fields and orbits. Dynamics of a system of particles. General motion of rigid bodies, angular momentum and kinetic energy of rigid bodies. Generalized coordinates and forces, Lagrange's equations.		MATH 262, MATH 263	(3-1-5)	Faculty of Engineering	
Structural Engineering Basics	CIVE 284	4	Basic principles of statics; force systems; trusses; centroids and second moment of areas; stress and strain; beams; shearing and bending stresses; deflections; combined stresses; columns.			(3-3-6)	Faculty of Engineering	Not open to students who have taken CIVE 205 and CIVE 283.
Thermodynamics and Heat Transfer	CIVE 290	3	Macroscopic vs. microscopic viewpoint; states and processes; energy conservation and transformation; phase equilibrium; equations of state; thermodynamic properties; work and heat interactions; First Law of thermodynamics and applications; internal energy; enthalpy; specific heat; Second Law of thermodynamics; entropy; humidity and air-conditioning processes; introduction to heat transfer and renewable energy.			(3-2-4)	Faculty of Engineering	
Probabilistic Systems	CIVE 302	3	An introduction to probability and statistics with applications to Civil Engineering design. Descriptive statistics, common probability models, statistical estimation, regression and correlation, acceptance sampling.	MATH 262, COMP 208 (a D grade is acceptable for prerequisite purposes)		(3-2-4)	Faculty of Engineering	
Geotechnical Mechanics	CIVE 311	4	The origin and formation of soils. Soil classification systems and phase composition in soils. Stress states in geotechnical materials. Total stresses, pore fluid pressures and effective stresses. Terzaghi’s concept of effective stresses. Time-dependent influences of pore pressure development during loading. Water flow in porous media. Darcy’s law. Laboratory and field measurement of hydraulic conductivity. Hydraulic conductivity of soil composites. Deformation of geomaterials. Elastic deformations and consolidation behaviour. Failure of soils. The Mohr-Coulomb criterion. Stress paths. Dilatancy, Taylor’s interpretation of stress dilatancy and applications.	CIVE 207		(4-2-6)	Faculty of Engineering	
Structural Engineering 1	CIVE 317	3	The design process; loads, sources, classifications, load factors, combinations; limit states design; structural systems and foundations; choice of materials; virtual work and energy methods; statical and kinematic indeterminacy; slope deflection method, introduction to matrix methods; analysis of indeterminate systems; force envelopes.	CIVE 202, CIVE 207 and MECH 289 (formerly MECH 290).		(3-2-4)	Faculty of Engineering	
Structural Engineering 2	CIVE 318	3	Durability and service life; fire resistance and protection; steel, reinforced concrete and timber; behaviour and design of components in tension, compression, bending and shear; slenderness, global and local instability; axial load and moment interaction; curvature, deflection, ductility; connections; bond and anchorage of reinforcement; simple footings.	CIVE 317		(3-2-4)	Faculty of Engineering	
Transportation Engineering	CIVE 319	3	Introduction to design and operating principles and procedures for surface transportation systems, including vehicle motion and performance, pavements, geometric design of roadbeds, vehicle flow and capacity, traffic control, demand, supply and cost concepts.	CIVE 208 and COMP 208.	CIVE 302	(3-1-5)	Faculty of Engineering	
Numerical Methods	CIVE 320	4	Numerical procedures applicable to civil engineering problems	COMP 208, MATH 264.		(4-2-6)	Faculty of Engineering	
Hydrology and Water Resources	CIVE 323	3	Precipitation, evaporation and transpiration. Streamflow, storage reservoirs, flood routing. Groundwater hydrology. Ecohydrology. Statistical analysis in hydrology, stochastic modelling. Simulations using hydrologic models. Case studies in flood damage mitigation, surface and ground water management, and water-energy-food nexus.	CIVE 302		(3-2-4)	Faculty of Engineering	
Sustainable Project Management	CIVE 324	3	Lifecycle approach to project and construction management. Sustainable practices are introduced at all project stages	CIVE 208 and FACC 300.		(3-1-5)	Faculty of Engineering	
Fluids and Hydraulics Laboratory	CIVE 326	1	Laboratory experiments in fluid mechanics and hydraulics.			(0-1-2)	Faculty of Engineering	Not open to students who have taken CIVE 327
Fluid Mechanics and Hydraulics	CIVE 327	4	Fluid properties; hydrostatics; dimensional analysis and similitude, fluxes of mass, momentum and energy; Bemoulli's equation; method of control volume; streamline curvature; potential flow and boundary layers; pipe flow, hydraulic machinery and introduction to open-channel flow.	CIVE 206, MATH 264.		(4-2-6)	Faculty of Engineering	
Structural Steel and Timber Design	CIVE 385	3	Structural loadings, load factors, code requirements and design procedures. Characteristics of structural steel and structural timber in building construction. Structural design of axially loaded tension and compression members, joists, beams, girders, trusses and framing systems.	CIVE 284.	ARCH 240	(3-1-5)	Faculty of Engineering	
Foundation and Concrete Design	CIVE 388	3	Physical properties of concrete; behaviour and design of reinforced concrete members in compression, tension, bending, shear and combined loadings; bond and anchorage; soil properties, soil testing, footings; pile foundation; shorting; retaining walls.	CIVE 284.		(3-1-5)	Faculty of Engineering	
Geotechnical Engineering	CIVE 416	3	Earth pressure theory, retaining walls, sheet pile walls, braced excavations. Slope stability analysis. 2D flow through isotropic and anisotropic soils. Bearing capacity and settlement of shallow foundations, stress distribution. Deep foundations, single pile, pile groups. Geotechnical investigation and reports.	CIVE 311		(3-3-3)	Faculty of Engineering	
Design Project	CIVE 418	4	A team-based capstone design project carried out under the supervision of an experienced engineer. Involves a design project in one or more of the subdisciplines; environmental engineering, water resources engineering, transportation engineering, geotechnical engineering or structural engineering. Includes the definition of the problem, contains an iterative solution-finding process, and results in a final design. Addresses professionalism, as well as, economic, environmental, societal, safety and regulatory aspects of design. Contains the writing of a technical report and oral presentations. Emphasis is placed on the completion of a project of professional quality replicating the design process commonly implemented by practicing engineers.	Completion of an approved set of required and complementary courses; normally restricted to final semester.		(1-2-6)	Faculty of Engineering	
Municipal Systems	CIVE 421	3	Design of water-related municipal services; sources of water and intake design; estimation of water demand and wastewater production rates; design, construction and maintenance of water distribution, wastewater and stormwater collection systems; pumps and pumping stations; pipe materials, network analysis and optimization; storage; treatment objectives for water and wastewater.	CIVE 327		(3-3-3)	Faculty of Engineering	
Water Resources and Hydraulic Engineering	CIVE 428	3	Application of continuity, energy and momentum equations to open channel flow; design of channels considering uniform flow and flow resistance, non-uniform flow and longitudinal profiles; design of channel controls and transitions; unsteady flow and flood routing; river ice engineering; sediment transport and river morphology; sustainability in river engineering; industry standard numerical models.	CIVE 327		(3-3-3)	Faculty of Engineering	
Water Treatment and Pollution Control	CIVE 430	3	Principles of water and sewage treatment. Water and sewage characteristics; design of conventional unit operations and processes; laboratory analyses of potable and waste waters.	CIVE 225 and CIVE 327		(3-3-3)	Faculty of Engineering	
Technical Paper	CIVE 432	1	A technical paper, on a suitable topic, is to be prepared in accordance with detailed instructions which are provided by the Department. This paper will normally be written in the U3 year and may be submitted in September or January.	CCOM 206 or WCOM 206		(0-0-3)	Faculty of Engineering	
Traffic Engineering and Simulation	CIVE 440	3	Driver, vehicle and traffic flow characteristics; origin-destination studies, traffic studies and analysis, queuing theory applications, microsimulation, highway design and capacity analysis, non-motorized facility design, HOV lane design, public transportation priority design, parking analysis, traffic signal design and control, traffic microsimulation with HCS, VISSIM and SYNCHRO.	CIVE 319 (a D grade is acceptable for prerequisite purposes)		(3-3-3)	Faculty of Engineering	
Construction Engineering	CIVE 446	3	Project management principles; construction equipment economics, selection, operation; characteristics of building, heavy, marine, underground and route construction projects; international projects.	CIVE 208 and FACC 300		(3-1-5)	Faculty of Engineering	
Water Resources in Barbados	CIVE 452	3	Challenges faced and available engineering solutions for water-stressed communities. Overview of Barbados’ water resources, fundamentals of hydrology, contaminant transport and groundwater remediation in a karst geologic environment. Technologies associated with water reuse, legislation, health effects, epidemiology. Laboratory tests for water quality; field study tours.				Faculty of Engineering	Must be enrolled in the Barbados Field Study Semester.
Matrix Structural Analysis	CIVE 460	3	Computer structural analysis, direct stiffness applied to two and three dimensional frames and trusses, matrix force method, nonlinear problems, buckling of trusses and frames, introduction to finite element analysis.	CIVE 206 and CIVE 317		(3-2-4)	Faculty of Engineering	
Design of Steel Structures	CIVE 462	3	Design of structural steel members	CIVE 318		(3-3-3)	Faculty of Engineering	
Design of Concrete Structures	CIVE 463	3	Design of reinforced concrete members	CIVE 318		(3-3-3)	Faculty of Engineering	
Undergraduate Research Project	CIVE 470	3	Independent research project under the supervision of an academic staff member. Selection of a research problem, formulation of hypotheses and objectives, research design, literature review, analysis, discussion, report.	Permission of the Department.		(0-1-8) | Open to U2 students and above, CGPA ? 3.0 | The research project needs to be established with the supervisor before registration.	Faculty of Engineering	
Advanced Civil Engineering Materials	CIVE 512	3	Production, structure and properties of engineering materials; ferrous alloys, treatments, welding, special steels, cast iron; ceramic materials; polymers; composite materials; concrete, admixtures, structure, creep, shrinkage; asphalt and asphaltic materials; clay materials and bricks; impact of environment on material response, durability, quality assessment and control, industrial specifications; recent advances.	CIVE 202		(3-2-4)	Faculty of Engineering	
Sustainable Development Plans	CIVE 519	6	Geared for solving real-world environmental problems related to water at the local, regional and international scale in Barbados. Projects to be designed by instructors in consultation with university, government and NGO partners and to be conducted by teams of two to four students in collaboration with them.			(1-9-8)	Faculty of Engineering	Must be enrolled in the Barbados Field Study Semester.
Groundwater Hydrology	CIVE 520	3	Fundamentals of subsurface hydrological processes. Field data and simulation under parameter uncertainty. Numerical modelling. Quantifying groundwater resources and groundwater flow to wells. Groundwater sustainability from a multidisciplinary perspective including engineering and policy.	CIVE 311 and CIVE 323; Graduate students		Note 1: (3-0-6).	Faculty of Engineering	Not open to students who have taken CIVE 546 in Winter 2012.
Nanomaterials and the Aquatic Environment	CIVE 521	3	Environmental impacts and applications of nanomaterials. Topics	CHEE 315 or CIVE 225 or MIME 356 or equivalent; CHEE 310 or CIVE 430 or CHEM 233 or equivalent; or permission of instructor.		3-0-6 | Offered each year, one year by the Department of Chemical Engineering and one year by the Department of Civil Engineering	Faculty of Engineering	Not open to students who have taken CHEE 521.
Renovation and Preservation: Infrastructure	CIVE 527	3	Maintenance, rehabilitation, renovation and preservation of infrastructure; infrastructure degradation mechanisms; mechanical, chemical and biological degradation; corrosion of steel; condition surveys and evaluation of buildings and bridges; repair and preservation of materials, techniques and strategies; codes and guidelines; case studies, sustainable development; group project.	CIVE 202 and CIVE 318		(3-2-4)	Faculty of Engineering	
